Time	WaterLevel_cm
2012050603	19.292300
2012050604	19.433200
2012050605	19.503600
2012050606	19.644400
2012050607	19.714800
2012050608	19.785200
2012050609	19.855600
2012050610	19.926000
2012050611	19.996400
2012050612	19.996400
2012050613	19.996400
2012050614	20.066800
2012050615	20.137300
2012050616	20.207700
2012050617	20.207700
2012050618	20.278100
2012050619	20.348500
2012050620	20.418900
2012050621	20.489300
2012050622	20.489300
2012050623	20.559700
2012050700	20.559700
2012050701	20.630100
2012050702	20.630100
2012050703	20.630100
2012050704	20.630100
2012050705	20.700500
2012050706	20.700500
2012050707	20.700500
2012050708	20.700500
2012050709	20.700500
2012050710	20.700500
2012050711	20.630100
2012050713	20.559700
2012050714	20.489300
2012050715	20.418900
2012050716	20.348500
2012050717	20.348500
2012050718	20.278100
2012050719	20.278100
2012050720	20.278100
2012050721	20.278100
2012050722	20.207700
2012050723	20.207700
2012050800	20.207700
2012050801	20.137300
2012050802	20.066800
2012050803	19.996400
2012050804	19.996400
2012050805	19.926000
2012050806	19.926000
2012050807	19.926000
2012050808	19.855600
2012050809	19.855600
2012050810	19.785200
2012050811	19.644400
2012050812	19.503600
2012050813	19.362800
2012050814	19.151500
2012050815	18.940300
2012050816	18.799500
2012050817	18.658600
2012050818	18.588200
2012050819	18.517800
2012050820	18.517800
2012050821	18.517800
2012050822	18.447400
2012050823	18.447400
2012050900	18.377000
2012050901	18.306600
2012050902	18.165800
2012050903	18.165800
2012050904	18.095400
2012050905	18.095400
2012050906	18.095400
2012050907	18.165800
2012050908	18.306600
2012050909	18.377000
2012050910	18.517800
2012050911	18.658600
2012050912	18.729100
2012050913	18.799500
2012050914	18.869900
2012050915	19.010700
2012050916	19.081100
2012050917	19.151500
2012050918	19.292300
2012050919	19.362800
2012050920	19.503600
2012050921	19.574000
2012050922	19.714800
2012050923	19.785200
2012051000	19.926000
2012051001	19.996400
2012051002	20.066800
2012051003	20.137300
2012051004	20.278100
2012051005	20.348500
2012051006	20.418900
2012051007	20.418900
2012051008	20.559700
2012051009	20.559700
2012051010	20.559700
2012051011	20.630100
2012051012	20.630100
2012051013	20.630100
2012051014	20.630100
2012051015	20.700500
2012051016	20.700500
2012051017	20.700500
2012051018	20.700500
2012051019	20.770900
2012051020	20.770900
2012051021	20.841400
2012051022	20.911800
2012051023	20.982200
2012051100	20.982200
2012051101	21.052600
2012051102	21.052600
2012051103	21.052600
2012051104	21.123000
2012051105	21.123000
2012051106	21.123000
2012051107	21.193400
2012051108	21.193400
2012051109	21.193400
2012051110	21.193400
2012051111	21.193400
2012051112	21.123000
2012051113	21.123000
2012051114	21.123000
2012051115	21.123000
2012051116	21.123000
2012051117	21.052600
2012051118	21.123000
2012051119	21.123000
2012051120	21.123000
2012051121	21.193400
2012051122	21.193400
2012051123	21.263800
2012051200	21.263800
2012051201	21.334200
2012051202	21.334200
2012051203	21.334200
2012051204	21.334200
2012051205	21.334200
2012051206	21.334200
2012051207	21.334200
2012051208	21.334200
2012051209	21.334200
2012051210	21.263800
2012051211	21.263800
2012051212	21.193400
2012051213	21.193400
2012051214	21.123000
2012051215	21.052600
2012051216	20.982200
2012051217	20.911800
2012051218	20.911800
2012051219	20.841400
2012051220	20.770900
2012051221	20.770900
2012051222	20.770900
2012051223	20.700500
2012051300	20.700500
2012051301	20.700500
2012051302	20.630100
2012051303	20.559700
2012051304	20.559700
2012051305	20.489300
2012051306	20.418900
2012051307	20.418900
2012051308	20.418900
2012051309	20.348500
2012051310	20.278100
2012051311	20.278100
2012051312	20.207700
2012051313	20.207700
2012051314	20.137300
2012051315	19.996400
2012051316	19.926000
2012051317	19.785200
2012051318	19.644400
2012051319	19.503600
2012051320	19.292300
2012051321	19.221900
2012051322	19.151500
2012051323	19.081100
2012051400	19.010700
2012051401	19.010700
2012051402	19.010700
2012051403	19.010700
2012051404	18.940300
2012051405	18.869900
2012051406	18.799500
2012051407	18.799500
2012051408	18.658600
2012051409	18.517800
2012051410	18.447400
2012051411	18.306600
2012051412	18.236200
2012051413	18.165800
2012051414	18.095400
2012051415	18.025000
2012051416	17.884100
2012051417	17.743300
2012051418	17.672900
2012051419	17.532100
2012051420	17.391300
2012051421	17.320900
2012051422	17.180000
2012051423	17.109600
2012051500	17.039200
2012051501	17.039200
2012051502	16.968800
2012051503	16.968800
2012051504	16.968800
2012051505	16.968800
2012051506	16.898400
2012051507	16.828000
2012051508	16.687200
2012051509	16.616800
2012051510	16.475900
2012051511	16.335100
2012051512	16.194300
2012051513	16.053500
2012051514	15.912700
2012051515	15.842200
2012051516	15.771800
2012051517	15.701400
2012051518	15.560600
2012051519	15.490200
2012051520	15.419800
2012051521	15.279000
2012051522	15.138200
2012051523	14.997300
2012051600	14.926900
2012051601	14.856500
2012051602	14.715700
2012051603	14.715700
2012051604	14.645300
2012051605	14.574900
2012051606	14.574900
2012051607	14.504500
2012051608	14.434000
2012051609	14.363600
2012051610	14.293200
2012051611	14.152400
2012051612	14.011600
2012051613	13.941200
2012051614	13.800400
2012051615	13.659500
2012051616	13.589100
2012051617	13.448300
2012051618	13.307500
2012051619	13.166700
2012051620	13.096300
2012051621	12.955400
2012051622	12.885000
2012051623	12.744200
2012051700	12.603400
2012051701	12.533000
2012051702	12.392200
2012051703	12.251300
2012051704	12.180900
2012051705	12.110500
2012051706	12.040100
2012051707	11.899300
2012051708	11.828900
2012051709	11.758500
2012051710	11.688100
2012051711	11.547200
2012051712	11.406400
2012051713	11.265600
2012051714	11.195200
2012051715	11.054400
2012051716	10.913600
2012051717	10.772700
2012051718	10.631900
2012051719	10.491100
2012051720	10.279900
2012051721	10.209400
2012051722	10.068600
2012051723	9.927810
2012051800	9.786990
2012051801	9.646170
2012051802	9.505350
2012051803	9.364530
2012051804	9.223710
2012051805	9.082890
2012051806	8.942070
2012051807	8.801250
2012051808	8.660430
2012051809	8.519610
2012051810	8.378790
2012051811	8.167560
2012051812	8.026740
2012051813	7.885920
2012051814	7.674690
2012051815	7.533870
2012051816	7.393050
2012051817	7.181820
2012051818	7.041000
2012051819	6.829770
2012051820	6.688950
2012051821	6.548130
