-0.01,-1.5,0.08,5,100,2.5,0.25,0,0,0,0,0,0,5,1,1,19,0,1,0
0.01,0.02,0.05,0.1,0.16,0.25,0.36,0.48,0.63,0.79,0.98,1.18,1.4,1.64,1.9,2.19,2.48,2.8,3.14,3.5
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.2,1.32,1.41,1.45,1.49,1.5,1.48,1.59,1.55
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.26,0.3,0.3,0.26,0.24,0.21,0.19,0.17,0.18
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.1,0.15,0.16,0.13,0.11,0.09,0.08,0.07,0.07
785,785,785,785,785,785,785,785,785,785,785,168.69,11.89,0.6,1.76,6.15,26.16,60.46,57.08,62
785,785,785,785,785,785,785,785,785,785,785,168.69,11.89,0.6,1.76,6.15,26.16,60.46,57.08,62
481,481,481,481,481,481,481,481,481,481,481,493.51,345.57,306.19,380.46,455.63,565.31,616.9,660.21,656
433,433,433,433,433,433,433,433,433,433,433,394.32,394.39,401.98,393.51,368.54,315.97,290.98,272.03,270.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,6.06,5.8,6.05,6.13,5.84,5.96,6.08,6.19,6.24
8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,5.13,16.98,26.48,26.55,23.89,22.38,21.43,19.74,20.85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,8.89,3.23,1.49,1.15,1.43,1,0.96,0.69,0.55
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.58,0.35,0.32,0.27,0.17,0,0,0,0
8653,8653,8653,8653,8653,8653,8653,8653,8653,8653,8653,5819.85,1445.9,1148.81,1114.98,1002.13,100,95.69,68.62,55
865,865,865,865,865,865,865,865,865,865,865,581.98,144.59,575.63,741.89,100.21,10,9.57,6.86,5.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,46,46,46,46,46,46,46,46,46,46,46,28.29,16,13.3,7,6.03,3,3,3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
200,200,200,200,200,200,200,200,200,200,200,200,126.23,75,60.02,25,29.85,45,45,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
